global_round,task_pos,round_in_task,client_id,task_id,block,eps_trained,eps_aggr,eps_global,cknna_trained,cknna_aggr,cknna_global
34,1,8,3,0,4,4.651417,3.061023,0.397133,0.114845,0.124674,0.700301
35,1,9,2,2,4,5e-06,5e-06,5e-06,0.945455,0.913636,0.968182
35,1,9,0,2,4,0.001538,0.002171,0.001345,0.854891,0.780978,0.859239
35,1,9,3,0,4,4.241934,2.894655,0.552123,0.110933,0.125978,0.683952
36,1,10,0,2,4,0.002202,0.001642,0.000698,0.767935,0.722283,0.839674
36,1,10,2,2,4,4e-06,4e-06,4e-06,0.954545,0.936364,0.977273
36,1,10,3,0,4,5.52313,2.809383,0.719998,0.10993,0.119157,0.626479
37,1,11,3,0,4,4.878977,2.232404,0.465101,0.123872,0.131194,0.654965
37,1,11,2,2,4,5e-06,7e-06,7e-06,0.981818,0.968182,0.972727
37,1,11,0,2,4,0.002117,0.002045,0.001211,0.778261,0.785326,0.870109
38,1,12,2,2,4,5e-06,6e-06,7e-06,0.918182,0.940909,0.977273
38,1,12,0,2,4,0.001189,0.00187,0.001036,0.829348,0.770652,0.880978
38,1,12,3,0,4,4.094517,2.710025,0.451474,0.12999,0.13681,0.717252
39,1,13,3,0,4,2.778679,2.277552,0.485755,0.137713,0.146941,0.737011
39,1,13,2,2,4,5e-06,6e-06,6e-06,0.972727,0.986364,0.981818
39,1,13,0,2,4,0.001436,0.00216,0.000723,0.766304,0.741848,0.880978
40,1,14,0,2,4,0.001454,0.002125,0.001429,0.749457,0.759783,0.833696
40,1,14,2,2,4,6e-06,6e-06,6e-06,0.972727,0.977273,0.986364
40,1,14,3,0,4,4.573945,2.627514,0.856193,0.125476,0.142227,0.612036
41,1,15,2,2,4,7e-06,5e-06,5e-06,0.981818,0.968182,0.977273
41,1,15,3,0,4,4.950944,2.973389,0.916393,0.109629,0.125176,0.61996
41,1,15,0,2,4,0.001669,0.003355,0.001508,0.8125,0.730435,0.816304
42,1,16,3,0,4,5.075733,3.004876,0.661103,0.14012,0.152859,0.657272
42,1,16,2,2,4,6e-06,7e-06,6e-06,0.963636,0.963636,0.986364
42,1,16,0,2,4,0.002121,0.001762,0.000845,0.801087,0.745109,0.82337
43,1,17,0,2,4,0.003053,0.001802,0.000657,0.786957,0.747826,0.865217
43,1,17,3,0,4,3.80386,2.626734,0.656455,0.115848,0.126981,0.649649
43,1,17,2,2,4,6e-06,6e-06,6e-06,0.977273,0.95,0.972727
44,1,18,2,2,4,6e-06,5e-06,5e-06,0.954545,0.959091,0.977273
44,1,18,3,0,4,3.176861,2.319115,0.451951,0.133902,0.142026,0.715446
44,1,18,0,2,4,0.001866,0.000916,0.000408,0.797826,0.752717,0.865761
45,1,19,3,0,4,3.829272,3.002248,0.57404,0.122167,0.132798,0.645637
45,1,19,0,2,4,0.001533,0.000904,0.000561,0.770109,0.720652,0.852174
45,1,19,2,2,4,4e-06,4e-06,4e-06,0.968182,0.954545,0.963636
